year,city,country,avg_temp
1986,Stockholm,Sweden,6.15
1987,Stockholm,Sweden,4.99
1988,Stockholm,Sweden,6.98
1989,Stockholm,Sweden,8.35
1990,Stockholm,Sweden,8.43
1991,Stockholm,Sweden,7.49
1992,Stockholm,Sweden,7.94
1993,Stockholm,Sweden,6.98
1994,Stockholm,Sweden,7.23
1995,Stockholm,Sweden,7.17
1996,Stockholm,Sweden,6.15
1997,Stockholm,Sweden,7.66
1998,Stockholm,Sweden,6.89
1999,Stockholm,Sweden,8.02
2000,Stockholm,Sweden,8.42
2001,Stockholm,Sweden,7.48
2002,Stockholm,Sweden,7.96
2003,Stockholm,Sweden,7.46
2004,Stockholm,Sweden,7.53
2005,Stockholm,Sweden,7.72
2006,Stockholm,Sweden,8.30
2007,Stockholm,Sweden,8.16
2008,Stockholm,Sweden,8.49
2009,Stockholm,Sweden,7.54
2010,Stockholm,Sweden,6.01
2011,Stockholm,Sweden,8.18
2012,Stockholm,Sweden,7.21
2013,Stockholm,Sweden,7.10
